0;Плотник ослеп и впал в кому из-за занозы;"30-летний житель английского города Сент-Остелл, графство Корнуолл, Дэйв Паркин, засадил занозу, едва не погиб из-за инфекции, впал в кому и ослеп. Об этом сообщает The Sun.

Мужчина, работавший плотником, занозил руку в 2020 году. Спустя некоторое время он начал мучиться от головной боли и обратился к врачу. По словам Паркина, врач поставил ему неправильный диагноз, решив, что тот потянул мышцу в спине, что якобы и вызывало головную боль.

Пациента отправили домой, однако за ночь его состояние резко ухудшилось. Деревянная щепка, застрявшая в руке Паркина, загноилась, в результате чего он заразился бактериальным менингитом и перенес инсульт. Помимо этого, у Паркина возник сепсис, абсцесс легких и пневмония. Врачи ввели пациента в медикаментозную кому и подключили к системе жизнеобеспечения. Благодаря усилиям медиков пациент выжил и пошел на поправку. Вскоре его выписали из больницы. Несмотря на выздоровление, он частично ослеп и навсегда получил инвалидность. В течение двух лет после произошедшего Паркин и его семья пытались восстановить психическое здоровье мужчины, переживавшего, что никогда не сможет заниматься любимым делом. «Я не могу избавиться от чувства вины, но я полагаю, что это часть родительской жизни», — говорит мать мужчины. Сам Паркин посещает психолога и утверждает, что ему стало морально легче.

Ранее сообщалось, что в Великобритании 45-летний Даррен Спенс лишился обеих ног после того как случайно поранил руку. Мужчина порезался на складе, во время работы с машиной для измельчения картона.";https://lenta.ru/news/2022/12/12/splinter/
1;Зеленский оценил помощь США Украине;"Президент Украины Владимир Зеленский признал, что Киеву будет очень сложно без поддержки США. Об этом он сообщил в интервью телеведущему Дэвиду Леттерману для стримингового сервиса Netflix.

«Мы понимаем, что происходит в США, мы за этим следим, это правда, для нас это важно, потому что США — лидер в поддержке Украины, и без их поддержки нам будет сложно, прямо очень сложно. Кстати, вопрос, когда закончится война, также зависит от этой поддержки, чтобы она была короче, нужна более мощная помощь», — заявил политик.

Зеленский отметил, что украинская сторона прислушивается к сигналам со всех сторон. По его словам, «если изменится климат в политике, в Конгрессе», это может сильно повлиять на помощь Киеву. Политик добавил, что в определенный момент Украина была обеспокоена замедлением поддержки.

Ранее телеканал NBC со ссылкой на трех американских чиновников сообщил о намерении США увеличить численность своих военных на Украине для усиления контроля за поставляемым оружием. Отмечается, что в настоящее время на Украине находятся «пара десятков» американских военнослужащих, включая небольшую группу, которая следит, чтобы западные «вооружения дошли до предполагаемых получателей».";https://lenta.ru/news/2022/12/12/usa/
0;Сбившего двух пешеходов и скрывшегося с места ДТП водителя задержали;"Полицейские задержали водителя иномарки, сбившего в центре Москвы двух пешеходов и скрывшегося с места ДТП. Об этом сообщает РИА Новости со ссылкой на пресс-службу столичного главка МВД.

Представитель ведомства отметил, что личность водителя внедорожника была оперативно установлена и в течение 30 минут он был задержан.

Также уточняется, что пешеходы переходили дорогу на разрешающий сигнал светофора. Пострадавших госпитализировали.

Ранее в Дмитрове мужчина на грузовом авто Peugeot насмерть сбил женщину, после чего попытался скрыться. Водитель переехал шедшую по газону россиянку, затем вышел из своего авто и, оставив дверь открытой и не помогая пострадавшей, сел в такси. Преступника задержали. В момент аварии он был пьян.";https://lenta.ru/news/2022/12/12/sbil_i_uyehal/
0;Саакашвили ограничили в курении электронных сигарет;"Лечащие врачи бывшего президента Грузии Михаила Саакашвили, который находится в клинике «Вивамед» в Тбилиси, ограничили его в курении электронных сигарет. Об этом сообщает пенитенциарная служба Минюста Грузии, передает «Интерфакс».

По информации ведомства, заключенный Михаил Саакашвили курил в большом количестве электронные сигареты. Это отрицательно сказывалось на состоянии его здоровья, поэтому медики приняли решение ограничить курение политика.

Ранее сообщалось, что экс-президент Грузии сильно похудел в тюрьме. «[В сравнении с фотографиями] сегодня Михаил Саакашвили похудел еще на десять килограммов», — сказала пресс-секретарь бывшего лидера Дарина Чиж.";https://lenta.ru/news/2022/12/12/sigaretyfu/
0;Россиянка упала под прибывающий поезд в метро и выжила;"Пассажирка упала на пути под прибывающий поезд в Московском метрополитене и выжила. Об этом пишет ТАСС со ссылкой на пресс-службу столичного управления МВД.

Инцидент произошел на станции метро «Орехово» Замоскворецкой линии. «На первый путь под прибывающий поезд упала женщина. Она извлечена, живая», — сообщили в ведомстве, уточнив, что на место происшествия едут сотрудники скорой помощи.

Подробности инцидента и спасения пассажирки не приводятся.

Ранее сообщалось, что в Московском метрополитене 11-летний школьник оступился на платформе и упал на рельсы. Мальчик ехал в школу и пока ждал поезд засмотрелся в телефон и упал. У него диагностировали легкий ушиб ноги, госпитализация не потребовалась.";https://lenta.ru/news/2022/12/12/metro/
1;В Госдуме назвали условия вхождения Сербии в состав России;"Первый зампредседателя комитета Госдумы по международным делам Алексей Чепа в беседе с радиостанцией «Говорит Москва» назвал условия вхождения Сербии в состав России.

По словам парламентария, страны могли бы воссоединиться по итогам референдума, однако такое решение зависит от воли сербского народа, подчеркнул он.

«Я не знаю, насколько это реально, потому что здесь решение не Вучича (президента Сербии. — Прим. «Ленты,ру»), а народа. Это должны определять люди, это референдум», — заявил Чепа.

Депутат подчеркнул, что голосование должно быть проведено по воле народа, так как у этой идеи есть «большое число противников», «чтобы потом никто не говорил, что это оккупация, захват и свержение».

Чепа добавил, что Москва будет оказывать поддержку Белграду «в любом случае», поскольку Сербия является «глубоко дружественной» для России страной.

Ранее президент Сербии Александр Вучич назвал 11 декабря самым тяжелым днем за время своего президентства. В этот день он созвал экстренное заседание Совета национальной безопасности на фоне обострения ситуации на севере Косово.

Очередное обострение на севере Косово произошло 10 декабря. Сообщалось, что в северной части Косово сербы начали строить баррикады после задержания бывшего полицейского МВД самопровозглашенной республики этнического серба Деяна Пантича. Затем на север края был введен полицейский спецназ из Приштины. В ночь на воскресенье, 11 декабря, возле озера Газиводе на пути к КПП «Брняк» произошло три перестрелки.

Летом в Косово возник кризис. Президент Сербии Александр Вучич тогда сообщал, что косовская полиция планирует начать силовую операцию против сербов, проживающих в регионе.";https://lenta.ru/news/2022/12/12/serbia/
0;СК подтвердил задержание сварщика и прораба по делу о пожаре в ТЦ «Мега Химки»;"Следственный комитет (СК) России подтвердил задержание сварщика и прораба по делу о пожаре в гипермаркете OBI в подмосковных Химках. Об этом сообщает пресс-служба областного управления СК.

Их подозревают в оказании услуг, не отвечающих требованиям безопасности и повлекшим за собой гибель человека (пункт «в» части 2 статьи 238 УК РФ), уточнили в следственном управлении.

По версии следствия, в результате проведения сварочных работ, не отвечающих требованиям безопасности, около 06:00 мск в гипермаркете OBI от искр произошло возгорание палет с товаром. Затем огонь перекинулся на все здание, конструкция не выдержала и упала на охранника, он погиб. Остальные люди успели эвакуироваться на улицу.

Ранее о задержании 36-летнего сварщика Дениса Сагитова и 42-летнего прораба Ильнура Шайхутдинова сообщил Telegram-канал Baza.

9 декабря в ТЦ «Мега Химки» на Ленинградском шоссе произошел пожар. Площадь возгорания составила 17 тысяч квадратных метров. МЧС назвало нарушение при сварочных работах основной причиной пожара.";https://lenta.ru/news/2022/12/12/sk/
0;«Русалки» спасли тонущего дайвера;"Три аквалангистки, 26-летняя Элайна Гарсия и ее коллеги, проводящие занятия по курсу «Русалки» в профессиональной ассоциации инструкторов по дайвингу, спасли тонущего мужчину в дайвинг-центре Casino Point в штате Калифорния, США. Об этом сообщает People.

Инцидент произошел 23 октября. Дайверы с 46-летним стажем Пабло Авила и Хавьер Кларамунт с сыном Джошуа плавали под водой. В какой-то момент Кларамунт проверил кислородные баллоны и решил, что им пора подниматься наверх. «Я подплыл к Авиле и предложил ему подняться, он согласился. Это последнее, что он помнит», — рассказал Хавьер.

Вскоре после того, как дайверы поднялись на поверхность, Кларамунт увидел, что изо рта у Авилы идет пена. По его предположениям, Авила слишком быстро поднимался и, возможно, задержал дыхание или у него возникли проблемы со снаряжением для подводного плавания. Он снял маску с потерявшего сознание друга и попытался очистить его рот от пены. Они с сыном поплыли с Авилой к берегу, взывая о помощи. Гарсия заметила мужчин и бросилась на помощь. «Я бежала в хвосте русалки так быстро, как только могла», — вспоминает она. Добравшись до Авилы, она поняла, что он не дышит, и начала оказывать ему первую помощь. Коллеги Гарсии помогли ей снять акваланг с пострадавшего и вытащили его на берег.

Авилу поместили в кислородную камеру, чтобы избежать аэроэмболии, и он пришел в себя. «Я не думала, что он выживет. У него не было пульса, он не дышал. Я думаю, это редкость, когда человек возвращается к жизни после такого», — утверждает Гарсия. Все они были рады, что спасли человека и подарили ему возможность прожить долгую и счастливую жизнь.

Ранее сообщалось, что в США десятилетний Гэвин Кини вытащил тонущую мать из бассейна и спас ее от гибели. У матери мальчика начался приступ эпилепсии во время плавания.";https://lenta.ru/news/2022/12/12/mermaids/
1;Австрия оценила возможность вступления Украины в ЕС в ускоренном порядке;"Канцлер Австрии Карл Нехаммер заявил, что не считает возможным вступление Украины и Боснии и Герцеговины (БиГ) в Европейский союз (ЕС) в ускоренном порядке. Об этом сообщает ТАСС.

По его словам, с точки зрения Евросоюза, Босния и Герцеговина еще не соответствует всем критериям вступления. Он подчеркнул, что «необходимо использовать различные формы диалога, чтобы приблизить страну к [Европейскому] союзу».

«С точки зрения Австрии, укороченные процедуры присоединения не подходят ни для Боснии, ни для Украины», — сказал политик.

23 июня большинством голосов в Европейском парламенте приняли резолюцию о предоставлении Украине статуса кандидата в Евросоюз. Для присоединения стране необходимо выполнить ряд условий, в том числе провести несколько важных реформ. После получения статуса кандидата в члены ЕС следует процесс подготовки к вступлению, в рамках которого предполагается сближение законодательства Украины с законодательством Европейского союза.";https://lenta.ru/news/2022/12/12/es/
0;Сбер предложил бизнесу купить золото в цифровом формате;"Сбер начинает выпуск цифровых финансовых активов (ЦФА) на золото. Выпуск будет осуществляться на собственной блокчейн-платформе. У инвесторов появится возможность приобрести аналог традиционного инструмента, обезличенного металлического счета, в удобном цифровом формате. ЦФА на золото позволит получить инвестиционный доход в зависимости от динамики цены на золото.

Преимущество нового финансового инструмента — быстрый и удобный процесс заключения сделки, которая совершается в информационной системе по заявке инвестора с использованием смарт-контракта без участия посредников. Инвесторы также смогут передавать активы другим пользователям платформы, что обеспечит вторичный оборот ЦФА.

«Российский рынок цифровых финансовых активов находится на начальном этапе своего развития. Тем не менее, мы видим, что цифровые активы имеют большие перспективы для клиентов банка и позволяют вывести уже существующие финансовые инструменты на новый уровень. Выпуск ЦФА на золото именно сейчас — своевременная мера в меняющемся финансовом ландшафте. Золото — ликвидный инвестиционный и защитный актив, вложения в который особенно актуальны для бизнеса в сегодняшней ситуации», — говорит Анатолий Попов, заместитель председателя правления Сбербанка.

Цифровые финансовые активы — это финансовый инструмент в цифровом формате. Их выпуск, учет и обращение осуществляются на основе распределенного реестра (технология блокчейн), который гарантирует неизменность данных.
ЦФА на золото — это ЦФА, удостоверяющий денежные требования, цена и объем обязательств по которому зависят от динамики цен на золото.

Смарт-контракт — это алгоритм, который позволяет автоматизировать процесс исполнения сделки на платформе без дополнительного волеизъявления сторон сделки.

В случае вашей заинтересованности в совершении сделок «ЦФА на золото», пожалуйста, обращайтесь за консультацией по телефонам 8 800 555-57-77 или 0321 (при звонке с мобильного). Подробнее о ЦФА — на сайте банка.";https://lenta.ru/news/2022/12/12/zlt/
0;Путин поручил кабмину увеличить зарплаты бюджетникам;"Президент России Владимир Путин поручил кабмину увеличить зарплаты работникам учреждений бюджетной сферы в начале 2023 года. Указания опубликованы на сайте Кремля.

Отмечается, что ответственным за исполнение поручения назначен премьер-министр России Михаил Мишустин. Доклад о ходе работы должен быть представлен 30 марта 2023 года.

Также российский лидер заявил о необходимости добиться роста зарплат теми же темпами, какие зафиксированы в среднем по экономике, а также поручил заняться их корректировкой в течение всего следующего года.

Ранее Владимир Путин на заседании Высшего Евразийского экономического совета (ВЕЭС) в Бишкеке заявил, что в России очевиден тренд на снижение инфляции. Путин напомнил, что дефицит федерального бюджета России в 2022 году составит 2 процента, однако выразил уверенность, что в 2024 году он снизится до 1,4 процента.";https://lenta.ru/news/2022/12/12/uvelicheniee/
1;Байден ответил на сообщения об отправке американских военных на Украину;"Президент США Джо Байден опроверг отправку американских военных на Украину на фоне сообщений об увеличении влияния Соединенных Штатов в регионе. Его слова приводит РИА Новости.

Американский лидер заверил, что Вашингтон ограничивается отправкой материальной помощи и снаряжения.

«Посылаем ли мы войска на Украину? Нет, мы отправляем снаряжение, как и прежде. На миллиарды долларов», — подчеркнул он.

Ранее телеканал NBC со ссылкой на трех американских чиновников сообщил о намерении США увеличить численность своих военных на Украине для усиления контроля за поставляемым оружием. Отмечается, что в настоящее время на Украине находятся «пара десятков» американских военнослужащих, включая небольшую группу, которая следит, чтобы западные «вооружения дошли до предполагаемых получателей».";https://lenta.ru/news/2022/12/12/neotpravlyaut/
0;Путин встретился с главой Конституционного суда;"Президент России Владимир Путин в понедельник, 12 декабря, провел традиционную встречу с главой Конституционного суда (КС) Валерием Зорькиным, приуроченную ко Дню Конституции. Об этом сообщается на сайте Кремля.

В ходе встречи Зорькин рассказал главе государства об итогах работы за 2022 год, о том по каким делам было больше всего обращений. «Много социалки, много связанных с защитой прав, когда назначаются наказания уголовные или административные. Что удивительно, в последнее время — законодательство по банкротству», — заявил глава КС.

Также Зорькин подарил Путину книгу-«кирпич», в которой собраны все постановления Конституционного суда за год.

Ранее «Ведомости» со ссылкой на источники, близкие к администрации президента, сообщали, что Путин может провести с Зорькиным встречу, приуроченную ко дню принятия Конституции. При этом отмечалось, что встреч с другими судьями КС президент не планирует.";https://lenta.ru/news/2022/12/12/const_sud/
0;Устроившего пожар в «Меге» строителя задержали;"В Подмосковье задержали строителя, устроившего пожар в торговом центре «Мега» в Химках. Об этом сообщает Telegram-канал Baza.

По его информации, задержан 36-летний сварщик Денис Сагитов. Отмечается, что сегодняшнюю ночь он проведет в изоляторе временного содержания (ИВС).

Кроме того, задержан 42-летний прораб Ильнур Шайхутдинов, отвечавший за проведение работ.

В ближайшие дни суд изберет им меру пресечения.

9 декабря в ТЦ «Мега Химки» на Ленинградском шоссе произошел пожар. Огонь распространился на территории гипермаркета OBI, который практически полностью выгорел. Площадь возгорания составила 17 тысяч квадратных метров. В результате ЧП погиб охранник.

МЧС назвало нарушение при сварочных работах основной причиной пожара.";https://lenta.ru/news/2022/12/12/zaderzhali/
